timer,CdA,speed,power,heartrate,cadence
33661,,962.1057142857140,211,130,88
34578,,961.1014285714290,226,130,89
34578,,961.1014285714290,226,130,89
35161,,966.1228571428570,251,130,88
35161,,966.1228571428570,251,130,88
35844,,966.1228571428570,211,130,85
35844,,966.1228571428570,211,130,85
36411,,971.1442857142860,232,130,91
36411,,971.1442857142860,232,130,91
37111,,976.1657142857140,226,130,89
37111,,976.1657142857140,226,130,89
37895,,976.1657142857140,212,131,87
37895,,976.1657142857140,212,131,87
38595,,981.1871428571430,239,131,89
38595,,981.1871428571430,239,131,89
39165,,981.1871428571430,229,131,89
39165,,981.1871428571430,229,131,89
39845,,985.2042857142860,262,131,92
39845,,985.2042857142860,262,131,92
40415,,986.2085714285710,223,131,87
40415,,986.2085714285710,223,131,87
41111,,986.2085714285710,213,131,90
41111,,986.2085714285710,213,131,90
41578,,983.1957142857140,216,131,90
41578,,983.1957142857140,216,131,90
42378,,983.1957142857140,241,131,91
42378,,983.1957142857140,241,131,91
43878,,984.2000000000000,233,131,90
43878,,984.2000000000000,233,131,90
44683,,989.2214285714290,221,131,89
44683,,989.2214285714290,221,131,89
45945,,990.2257142857140,237,131,89
45945,,990.2257142857140,237,131,89
46412,,990.2257142857140,226,131,90
46412,,990.2257142857140,226,131,90
47112,,987.212857142857,235,131,90
47112,,987.212857142857,235,131,90
47678,,982.1914285714290,226,131,90
47678,,982.1914285714290,226,131,90
48376,,982.1914285714290,228,131,85
48376,,982.1914285714290,228,131,85
49145,,976.1657142857140,245,131,89
49145,,976.1657142857140,245,131,89
49828,,978.1742857142860,246,132,90
49828,,978.1742857142860,246,132,90
50411,,978.1742857142860,221,132,87
50411,,978.1742857142860,221,132,87
51095,,979.1785714285710,211,132,90
51095,,979.1785714285710,211,132,90
52362,,974.1571428571430,249,132,89
52362,,974.1571428571430,249,132,89
54095,,973.1528571428570,233,132,88
54095,,973.1528571428570,233,132,88
55145,,967.1271428571430,235,132,88
55145,,967.1271428571430,235,132,88
55845,,963.1100000000000,252,133,88
55845,,963.1100000000000,252,133,88
57112,,956.0800000000000,199,133,85
57112,,956.0800000000000,199,133,85
57696,,953.0671428571430,211,133,86
57696,,953.0671428571430,211,133,86
58396,,953.0671428571430,221,133,87
58396,,953.0671428571430,221,133,87
58629,,952.0628571428570,224,133,86
58629,,952.0628571428570,224,133,86
59679,,954.0714285714290,221,134,88
59679,,954.0714285714290,221,134,88
60379,,954.0714285714290,243,134,86
60379,,954.0714285714290,243,134,86
61079,,960.0971428571430,221,134,88
61079,,960.0971428571430,221,134,88
61312,0.34638764304304200,960.0971428571430,234,134,87
61312,0.34638764304304200,960.0971428571430,234,134,87
62362,0.34638764304304200,960.0971428571430,232,134,87
62362,0.34638764304304200,960.0971428571430,232,134,87
62829,0.3424201487127510,961.1014285714290,254,134,88
62829,0.3424201487127510,961.1014285714290,254,134,88
63629,0.33112011718255000,961.1014285714290,239,134,86
63629,0.33112011718255000,961.1014285714290,239,134,86
64096,0.33112011718255000,965.1185714285710,225,134,89
64096,0.33112011718255000,965.1185714285710,225,134,89
64796,0.3245864365178770,958.0885714285710,206,134,86
64796,0.3245864365178770,958.0885714285710,206,134,86
66296,0.32840855810796500,955.0757142857140,234,134,87
66296,0.32840855810796500,955.0757142857140,234,134,87
67113,0.32370676013162600,945.0328571428570,214,135,85
67113,0.32370676013162600,945.0328571428570,214,135,85
68279,0.33718635017760600,933.9857142857140,223,135,84
68279,0.33718635017760600,933.9857142857140,223,135,84
69529,0.342382545346251,931.9771428571430,221,135,85
69529,0.342382545346251,931.9771428571430,221,135,85
70796,0.342440469601283,929.9685714285710,245,135,83
70796,0.342440469601283,929.9685714285710,245,135,83
71029,0.3451082765895200,924.9471428571430,223,135,83
71029,0.3451082765895200,924.9471428571430,223,135,83
72430,0.3486648010170900,924.9471428571430,238,135,86
72430,0.3486648010170900,924.9471428571430,238,135,86
72546,0.3483750840967280,924.9471428571430,264,135,83
72546,0.3483750840967280,924.9471428571430,264,135,83
73580,0.3483750840967280,924.9471428571430,236,135,85
73580,0.3483750840967280,924.9471428571430,236,135,85
74030,0.348258158691817,927.9600000000000,219,135,83
74030,0.348258158691817,927.9600000000000,219,135,83
74846,0.3478591967365190,927.9600000000000,249,135,86
74846,0.3478591967365190,927.9600000000000,249,135,86
75313,0.3487045806232170,934.9900000000000,224,135,84
75313,0.3487045806232170,934.9900000000000,224,135,84
76130,0.3487045806232170,943.0242857142860,226,135,85
76130,0.3487045806232170,943.0242857142860,226,135,85
79047,0.3378924825869990,950.0542857142860,226,135,85
79047,0.3378924825869990,950.0542857142860,226,135,85
79630,0.3613527582322540,950.0542857142860,0,135,0
79630,0.3613527582322540,950.0542857142860,0,135,0
80097,0.3501388959361700,950.0542857142860,203,135,87
80097,0.3501388959361700,950.0542857142860,203,135,87
80791,0.3478379069362340,950.0542857142860,189,135,85
80791,0.3478379069362340,950.0542857142860,189,135,85
82063,0.35077720395402800,951.0585714285710,214,135,87
82063,0.35077720395402800,951.0585714285710,214,135,87
82297,0.36067667529975400,953.0671428571430,201,135,87
82297,0.36067667529975400,953.0671428571430,201,135,87
83563,0.3603821463699530,957.0842857142860,182,135,87
83563,0.3603821463699530,957.0842857142860,182,135,87
84831,0.36178347940865600,953.0671428571430,190,135,85
84831,0.36178347940865600,953.0671428571430,190,135,85
85064,0.3677504059545520,953.0671428571430,219,134,88
85064,0.3677504059545520,953.0671428571430,219,134,88
86113,0.37371296475025400,957.0842857142860,237,134,87
86113,0.37371296475025400,957.0842857142860,237,134,87
86580,0.37870127391552000,957.0842857142860,216,134,86
86580,0.37870127391552000,957.0842857142860,216,134,86
87280,0.3826341002617840,957.0842857142860,222,134,88
87280,0.3826341002617840,957.0842857142860,222,134,88
87865,0.3826341002617840,961.1014285714290,232,134,88
87865,0.3826341002617840,961.1014285714290,232,134,88
88797,0.36418620714953600,965.1185714285710,234,134,87
88797,0.36418620714953600,965.1185714285710,234,134,87
89614,0.3566047900145220,967.1271428571430,224,134,88
89614,0.3566047900145220,967.1271428571430,224,134,88
89847,0.36431145789780500,967.1271428571430,232,134,89
89847,0.36431145789780500,967.1271428571430,232,134,89
90780,0.36431145789780500,968.1314285714290,217,134,87
90780,0.36431145789780500,968.1314285714290,217,134,87
91364,0.37705534462736400,968.1314285714290,226,134,87
91364,0.37705534462736400,968.1314285714290,226,134,87
92064,0.3828975331154690,971.1442857142860,225,134,90
92064,0.3828975331154690,971.1442857142860,225,134,90
92530,0.3828975331154690,972.1485714285710,209,134,88
92530,0.3828975331154690,972.1485714285710,209,134,88
93331,0.3926708424858100,974.1571428571430,216,135,87
93331,0.3926708424858100,974.1571428571430,216,135,87
94847,0.39610273815972300,980.1828571428570,234,134,89
94847,0.39610273815972300,980.1828571428570,234,134,89
95314,0.40691985315224800,980.1828571428570,222,134,89
95314,0.40691985315224800,980.1828571428570,222,134,89
96014,0.4104790939007540,981.1871428571430,219,134,88
96014,0.4104790939007540,981.1871428571430,219,134,88
96597,0.4104790939007540,981.1871428571430,227,135,90
96597,0.4104790939007540,981.1871428571430,227,135,90
97297,0.41564082186828700,981.1871428571430,214,135,89
97297,0.41564082186828700,981.1871428571430,214,135,89
97764,0.42607382018261900,981.1871428571430,236,135,90
97764,0.42607382018261900,981.1871428571430,236,135,90
98564,0.42607382018261900,987.212857142857,226,135,88
98564,0.42607382018261900,987.212857142857,226,135,88
100064,0.4172241461246130,981.1871428571430,236,135,89
100064,0.4172241461246130,981.1871428571430,236,135,89
100764,0.4250567301841920,981.1871428571430,238,135,88
100764,0.4250567301841920,981.1871428571430,238,135,88
102038,0.4052010476135550,979.1785714285710,229,135,89
102038,0.4052010476135550,979.1785714285710,229,135,89
102498,0.3978176607301190,979.1785714285710,224,135,88
102498,0.3978176607301190,979.1785714285710,224,135,88
103314,0.39486988205656900,980.1828571428570,200,135,88
103314,0.39486988205656900,980.1828571428570,200,135,88
104598,0.3926028527533640,976.1657142857140,228,135,89
104598,0.3926028527533640,976.1657142857140,228,135,89
105298,0.405697981961695,973.1528571428570,205,135,88
105298,0.405697981961695,973.1528571428570,205,135,88
106102,0.42735010573106400,965.1185714285710,234,135,88
106102,0.42735010573106400,965.1185714285710,234,135,88
106565,0.4295449474771690,965.1185714285710,253,135,87
106565,0.4295449474771690,965.1185714285710,253,135,87
107265,0.4295449474771690,966.1228571428570,247,135,91
107265,0.4295449474771690,966.1228571428570,247,135,91
108515,0.42996164252228400,967.1271428571430,234,135,85
108515,0.42996164252228400,967.1271428571430,234,135,85
109098,0.4320037980024380,968.1314285714290,228,135,87
109098,0.4320037980024380,968.1314285714290,228,135,87
109798,0.42025532049599600,968.1314285714290,220,135,89
109798,0.42025532049599600,968.1314285714290,220,135,89
110031,0.42025532049599600,968.1314285714290,199,135,89
110031,0.42025532049599600,968.1314285714290,199,135,89
111315,0.4280700506332410,966.1228571428570,215,135,86
111315,0.4280700506332410,966.1228571428570,215,135,86
112015,0.42307629164578400,962.1057142857140,229,135,88
112015,0.42307629164578400,962.1057142857140,229,135,88
113848,0.4176338839490430,948.0457142857140,206,135,85
113848,0.4176338839490430,948.0457142857140,206,135,85
114532,0.40860466719827400,933.9857142857140,185,135,83
114532,0.40860466719827400,933.9857142857140,185,135,83
116032,0.40118016146037200,928.9642857142860,209,135,84
116032,0.40118016146037200,928.9642857142860,209,135,84
116498,0.38190101696305000,928.9642857142860,214,135,85
116498,0.38190101696305000,928.9642857142860,214,135,85
117298,0.3817893903683980,938.0028571428570,217,135,85
117298,0.3817893903683980,938.0028571428570,217,135,85
117765,0.37546992789719500,938.0028571428570,219,135,87
117765,0.37546992789719500,938.0028571428570,219,135,87
118582,0.37546992789719500,942.02,224,135,85
118582,0.37546992789719500,942.02,224,135,85
119049,0.3572062840797220,946.0371428571430,231,135,86
119049,0.3572062840797220,946.0371428571430,231,135,86
119748,0.3509281140195550,946.0371428571430,235,135,85
119748,0.3509281140195550,946.0371428571430,235,135,85
121099,0.35634087058609000,946.0371428571430,203,135,85
121099,0.35634087058609000,946.0371428571430,203,135,85
121332,0.370622248218503,950.0542857142860,194,135,86
121332,0.370622248218503,950.0542857142860,194,135,86
122482,0.370622248218503,956.0800000000000,186,135,87
122482,0.370622248218503,956.0800000000000,186,135,87
123301,0.3869132428101060,957.0842857142860,204,134,88
123301,0.3869132428101060,957.0842857142860,204,134,88
124465,0.3921802299652050,959.092857142857,187,134,87
124465,0.3921802299652050,959.092857142857,187,134,87
125749,0.4040645621384010,959.092857142857,232,135,87
125749,0.4040645621384010,959.092857142857,232,135,87
125982,0.3816148605469240,959.092857142857,376,134,77
125982,0.3816148605469240,959.092857142857,376,134,77
127032,0.3656629482471810,957.0842857142860,647,135,91
127032,0.3656629482471810,957.0842857142860,647,135,91
127266,0.37238851389811900,1002.2771428571400,665,135,92
127266,0.37238851389811900,1002.2771428571400,665,135,92
128549,0.37238851389811900,1030.3971428571400,646,135,96
128549,0.37238851389811900,1030.3971428571400,646,135,96
129716,0.3376541445399140,1060.5257142857100,588,135,97
129716,0.3376541445399140,1060.5257142857100,588,135,97
131566,0.3336585103477740,1085.6328571428600,367,135,101
131566,0.3336585103477740,1085.6328571428600,367,135,101
132251,0.34826463730245000,1085.6328571428600,174,135,95
132251,0.34826463730245000,1085.6328571428600,174,135,95
133766,0.34460654454705100,1048.4742857142900,172,135,95
133766,0.34460654454705100,1048.4742857142900,172,135,95
134566,0.34716666739754200,1048.4742857142900,214,135,94
134566,0.34716666739754200,1048.4742857142900,214,135,94
134799,0.34796333671246700,1026.3800000000000,181,135,90
134799,0.34796333671246700,1026.3800000000000,181,135,90
136299,0.35796647919793500,1015.332857142860,196,136,92
136299,0.35796647919793500,1015.332857142860,196,136,92
136983,0.36214615351062600,1010.3114285714300,186,136,93
136983,0.36214615351062600,1010.3114285714300,186,136,93
138484,0.3665212595369620,1006.2942857142900,196,137,92
138484,0.3665212595369620,1006.2942857142900,196,137,92
138949,0.37456359321280600,1005.29,163,137,90
138949,0.37456359321280600,1005.29,163,137,90
139749,0.38008086447735700,996.2514285714290,177,137,89
139749,0.38008086447735700,996.2514285714290,177,137,89
140099,0.37984959657685500,996.2514285714290,204,137,90
140099,0.37984959657685500,996.2514285714290,204,137,90
141017,0.3787896824872470,993.2385714285710,196,138,93
141017,0.3787896824872470,993.2385714285710,196,138,93
141249,0.3740215852280320,993.2385714285710,181,138,89
141249,0.3740215852280320,993.2385714285710,181,138,89
142283,0.3740215852280320,993.2385714285710,194,138,90
142283,0.3740215852280320,993.2385714285710,194,138,90
142750,0.3729159186037790,994.2428571428570,237,138,88
142750,0.3729159186037790,994.2428571428570,237,138,88
143550,0.3746722585115620,994.2428571428570,241,138,94
143550,0.3746722585115620,994.2428571428570,241,138,94
144016,0.37599434716041900,1000.2685714285700,232,139,89
144016,0.37599434716041900,1000.2685714285700,232,139,89
145033,0.37599434716041900,1005.29,235,139,93
145033,0.37599434716041900,1005.29,235,139,93
145733,0.3670998522954110,1010.3114285714300,201,139,91
145733,0.3670998522954110,1010.3114285714300,201,139,91
145966,0.3600361584661050,1010.3114285714300,194,139,92
145966,0.3600361584661050,1010.3114285714300,194,139,92
147016,0.3600361584661050,1008.3028571428600,174,139,89
147016,0.3600361584661050,1008.3028571428600,174,139,89
147483,0.3639045834446910,1008.3028571428600,174,139,95
147483,0.3639045834446910,1008.3028571428600,174,139,95
148283,0.36686600044061700,1004.2857142857100,184,139,91
148283,0.36686600044061700,1004.2857142857100,184,139,91
148517,0.36686600044061700,1004.2857142857100,203,139,90
148517,0.36686600044061700,1004.2857142857100,203,139,90
149534,0.3524009111698070,1000.2685714285700,169,139,90
149534,0.3524009111698070,1000.2685714285700,169,139,90
150233,0.35686747698531800,1000.2685714285700,172,139,91
150233,0.35686747698531800,1000.2685714285700,172,139,91
151050,0.3559533901700360,998.26,178,139,91
151050,0.3559533901700360,998.26,178,139,91
151283,0.3559533901700360,998.26,178,139,91
151283,0.3559533901700360,998.26,178,139,91
152217,0.33943556096751900,991.2300000000000,181,139,89
152217,0.33943556096751900,991.2300000000000,181,139,89
152450,0.3408851857908610,991.2300000000000,205,139,91
152450,0.3408851857908610,991.2300000000000,205,139,91
153500,0.3408851857908610,990.2257142857140,187,139,87
153500,0.3408851857908610,990.2257142857140,187,139,87
153967,0.33775744449613900,990.2257142857140,198,139,91
153967,0.33775744449613900,990.2257142857140,198,139,91
154676,0.33775744449613900,989.2214285714290,211,139,90
154676,0.33775744449613900,989.2214285714290,211,139,90
155250,0.3376803600585930,990.2257142857140,215,139,90
155250,0.3376803600585930,990.2257142857140,215,139,90
156967,0.3374101280287700,994.2428571428570,222,139,90
156967,0.3374101280287700,994.2428571428570,222,139,90
157300,0.33524166215700400,994.2428571428570,196,139,90
157300,0.33524166215700400,994.2428571428570,196,139,90
158784,0.34622946549111800,997.2557142857140,214,139,91
158784,0.34622946549111800,997.2557142857140,214,139,91
159484,0.34970362285292100,998.26,216,139,89
159484,0.34970362285292100,998.26,216,139,89
159700,0.35945990704752000,998.26,222,139,91
159700,0.35945990704752000,998.26,222,139,91
160717,0.35945990704752000,999.2642857142860,210,139,90
160717,0.35945990704752000,999.2642857142860,210,139,90
161417,0.35897083884724600,1000.2685714285700,213,139,90
161417,0.35897083884724600,1000.2685714285700,213,139,90
162217,0.3576730729582580,1002.2771428571400,203,139,92
162217,0.3576730729582580,1002.2771428571400,203,139,92
162434,0.3604540978772950,1002.2771428571400,202,139,91
162434,0.3604540978772950,1002.2771428571400,202,139,91
163467,0.3604540978772950,1007.2985714285700,230,139,91
163467,0.3604540978772950,1007.2985714285700,230,139,91
163701,0.35481001255273800,1007.2985714285700,243,139,92
163701,0.35481001255273800,1007.2985714285700,243,139,92
164751,0.35481001255273800,1013.3242857142900,238,139,92
164751,0.35481001255273800,1013.3242857142900,238,139,92
165217,0.3463545868859610,1013.3242857142900,226,139,90
165217,0.3463545868859610,1013.3242857142900,226,139,90
166034,0.3440338533082110,1013.3242857142900,245,139,92
166034,0.3440338533082110,1013.3242857142900,245,139,92
166251,0.34390193657724100,1015.332857142860,249,139,94
166251,0.34390193657724100,1015.332857142860,249,139,94
168517,0.34390193657724100,1017.3414285714300,225,139,93
168517,0.34390193657724100,1017.3414285714300,225,139,93
169434,0.3380699281722200,1017.3414285714300,211,138,92
169434,0.3380699281722200,1017.3414285714300,211,138,92
170701,0.33434317374698900,1014.3285714285700,200,139,91
170701,0.33434317374698900,1014.3285714285700,200,139,91
171051,0.332177423474626,1014.3285714285700,211,139,93
171051,0.332177423474626,1014.3285714285700,211,139,93
171951,0.3339542084218050,1012.3200000000000,216,139,90
171951,0.3339542084218050,1012.3200000000000,216,139,90
172301,0.33549822568170700,1012.3200000000000,214,139,95
172301,0.33549822568170700,1012.3200000000000,214,139,95
172768,0.3382970643359000,1018.3457142857100,201,139,90
172768,0.3382970643359000,1018.3457142857100,201,139,90
173451,0.3382970643359000,1025.3757142857100,203,139,96
173451,0.3382970643359000,1025.3757142857100,203,139,96
173937,0.33781248798480700,1025.3757142857100,225,139,92
173937,0.33781248798480700,1025.3757142857100,225,139,92
174718,0.33883336303453100,1026.3800000000000,217,139,94
174718,0.33883336303453100,1026.3800000000000,217,139,94
176001,0.33883336303453100,1026.3800000000000,266,139,94
176001,0.33883336303453100,1026.3800000000000,266,139,94
177151,0.3358519886264520,1033.4100000000000,232,139,95
177151,0.3358519886264520,1033.4100000000000,232,139,95
178651,0.3381199461769480,1045.4614285714300,225,139,95
178651,0.3381199461769480,1045.4614285714300,225,139,95
179451,0.33643170703892000,1048.4742857142900,246,139,97
179451,0.33643170703892000,1048.4742857142900,246,139,97
179685,0.3290239886038720,1048.4742857142900,232,139,94
179685,0.3290239886038720,1048.4742857142900,232,139,94
180735,0.3161759060239090,1045.4614285714300,252,139,97
180735,0.3161759060239090,1045.4614285714300,252,139,97
181201,0.3125298231283610,1045.4614285714300,214,139,91
181201,0.3125298231283610,1045.4614285714300,214,139,91
182001,0.3040652924007110,1044.4571428571400,257,139,90
182001,0.3040652924007110,1044.4571428571400,257,139,90
182468,0.3025949404632300,1044.4571428571400,218,139,83
182468,0.3025949404632300,1044.4571428571400,218,139,83
183152,0.3025949404632300,1051.4871428571400,238,139,85
183152,0.3025949404632300,1051.4871428571400,238,139,85
183952,0.31370060275689600,1056.5085714285700,250,139,86
183952,0.31370060275689600,1056.5085714285700,250,139,86
184753,0.31568800460343200,1058.5171428571400,200,139,82
184753,0.31568800460343200,1058.5171428571400,200,139,82
186385,0.3247281740587740,1058.5171428571400,240,139,84
186385,0.3247281740587740,1058.5171428571400,240,139,84
187185,0.3464588225655880,1066.5514285714300,228,139,87
187185,0.3464588225655880,1066.5514285714300,228,139,87
188468,0.34698780682491600,1072.5771428571400,230,139,85
188468,0.34698780682491600,1072.5771428571400,230,139,85
188686,0.34525805213426200,1072.5771428571400,233,138,86
188686,0.34525805213426200,1072.5771428571400,233,138,86
189968,0.3440134983742,1079.607142857140,245,139,86
189968,0.3440134983742,1079.607142857140,245,139,86
190668,0.3428217574167070,1079.607142857140,239,139,87
190668,0.3428217574167070,1079.607142857140,239,139,87
191935,0.34656259234981200,1077.5985714285700,255,139,87
191935,0.34656259234981200,1077.5985714285700,255,139,87
192402,0.3352152943845620,1077.5985714285700,242,138,85
192402,0.3352152943845620,1077.5985714285700,242,138,85
193185,0.3361998635182530,1074.5857142857100,282,139,88
193185,0.3361998635182530,1074.5857142857100,282,139,88
193419,0.3361998635182530,1074.5857142857100,243,139,84
193419,0.3361998635182530,1074.5857142857100,243,139,84
194469,0.3274746415136560,1065.5471428571400,270,139,86
194469,0.3274746415136560,1065.5471428571400,270,139,86
195152,0.32900185021078000,1062.5342857142900,284,139,87
195152,0.32900185021078000,1062.5342857142900,284,139,87
195969,0.32900185021078000,1062.5342857142900,232,139,83
195969,0.32900185021078000,1062.5342857142900,232,139,83
196419,0.31347693318612,1059.5214285714300,231,139,84
196419,0.31347693318612,1059.5214285714300,231,139,84
197219,0.3130619264044220,1057.512857142860,249,139,84
197219,0.3130619264044220,1057.512857142860,249,139,84
197686,0.3130619264044220,1057.512857142860,281,139,87
197686,0.3130619264044220,1057.512857142860,281,139,87
198502,0.30876508249770200,1058.5171428571400,236,139,84
198502,0.30876508249770200,1058.5171428571400,236,139,84
199752,0.2951838866722190,1050.482857142860,220,139,83
199752,0.2951838866722190,1050.482857142860,220,139,83
200202,0.2878660312073750,1047.47,219,139,84
200202,0.2878660312073750,1047.47,219,139,84
201119,0.2878660312073750,1050.482857142860,218,139,86
201119,0.2878660312073750,1050.482857142860,218,139,86
201919,0.27713633412028800,1050.482857142860,224,139,84
201919,0.27713633412028800,1050.482857142860,224,139,84
203652,0.2768443166930970,1052.4914285714300,238,139,84
203652,0.2768443166930970,1052.4914285714300,238,139,84
204436,0.2844873846950580,1047.47,236,139,83
204436,0.2844873846950580,1047.47,236,139,83
204902,0.2843735868279460,1047.47,234,139,84
204902,0.2843735868279460,1047.47,234,139,84
205719,0.2799100338236630,1045.4614285714300,233,139,83
205719,0.2799100338236630,1045.4614285714300,233,139,83
206419,0.2800686325696510,1047.47,241,139,84
206419,0.2800686325696510,1047.47,241,139,84
207119,0.28530166045665300,1050.482857142860,251,139,84
207119,0.28530166045665300,1050.482857142860,251,139,84
207686,0.2961871239978560,1050.482857142860,246,139,83
207686,0.2961871239978560,1050.482857142860,246,139,83
208369,0.2961871239978560,1052.4914285714300,249,139,86
208369,0.2961871239978560,1052.4914285714300,249,139,86
209636,0.29515516883647900,1055.5042857142900,255,139,84
209636,0.29515516883647900,1055.5042857142900,255,139,84
210219,0.2926427072069770,1055.5042857142900,231,139,86
210219,0.2926427072069770,1055.5042857142900,231,139,86
210919,0.3016781393473910,1058.5171428571400,239,139,84
210919,0.3016781393473910,1058.5171428571400,239,139,84
211153,0.3016781393473910,1058.5171428571400,237,139,84
211153,0.3016781393473910,1058.5171428571400,237,139,84
213186,0.3028341312901570,1058.5171428571400,237,139,85
213186,0.3028341312901570,1058.5171428571400,237,139,85
213419,0.3030664555332540,1056.5085714285700,216,139,85
213419,0.3030664555332540,1056.5085714285700,216,139,85
214439,0.30108959997583300,1056.5085714285700,232,139,84
214439,0.30108959997583300,1056.5085714285700,232,139,84
214903,0.2927699452250590,1056.5085714285700,233,139,84
214903,0.2927699452250590,1056.5085714285700,233,139,84
215686,0.2927699452250590,1055.5042857142900,208,139,85
215686,0.2927699452250590,1055.5042857142900,208,139,85
216153,0.28012652444465000,1055.5042857142900,232,139,83
216153,0.28012652444465000,1055.5042857142900,232,139,83
216936,0.28071163753569700,1050.482857142860,238,139,86
216936,0.28071163753569700,1050.482857142860,238,139,86
217637,0.28071163753569700,1050.482857142860,233,139,84
217637,0.28071163753569700,1050.482857142860,233,139,84
218336,0.2695763329604330,1050.482857142860,229,139,83
218336,0.2695763329604330,1050.482857142860,229,139,83
218920,0.26684560214638700,1050.482857142860,233,139,84
218920,0.26684560214638700,1050.482857142860,233,139,84
219703,0.26684560214638700,1049.4785714285700,254,140,84
219703,0.26684560214638700,1049.4785714285700,254,140,84
220953,0.2606913505934650,1050.482857142860,228,140,84
220953,0.2606913505934650,1050.482857142860,228,140,84
221420,0.25915012191427800,1051.4871428571400,227,140,84
221420,0.25915012191427800,1051.4871428571400,227,140,84
222120,0.26245685045267800,1051.4871428571400,240,139,86
222120,0.26245685045267800,1051.4871428571400,240,139,86
223620,0.2614411716146080,1052.4914285714300,228,139,84
223620,0.2614411716146080,1052.4914285714300,228,139,84
224437,0.27102263348867700,1052.4914285714300,217,139,84
224437,0.27102263348867700,1052.4914285714300,217,139,84
224670,0.28552945981804000,1051.4871428571400,250,139,85
224670,0.28552945981804000,1051.4871428571400,250,139,85
225604,0.28552945981804000,1050.482857142860,231,140,83
225604,0.28552945981804000,1050.482857142860,231,140,83
226953,0.28547645527715500,1047.47,233,139,84
226953,0.28547645527715500,1047.47,233,139,84
228120,0.28151404332745300,1041.4442857142900,235,140,84
228120,0.28151404332745300,1041.4442857142900,235,140,84
228937,0.28529954826682900,1033.4100000000000,182,139,81
228937,0.28529954826682900,1033.4100000000000,182,139,81
229639,0.29216426146584000,1033.4100000000000,217,139,83
229639,0.29216426146584000,1033.4100000000000,217,139,83
230920,0.28843228022341400,1025.3757142857100,262,139,82
230920,0.28843228022341400,1025.3757142857100,262,139,82
231154,0.2900052038337390,1025.3757142857100,235,139,81
231154,0.2900052038337390,1025.3757142857100,235,139,81
232087,0.29229477815447800,1034.4142857142900,227,139,81
232087,0.29229477815447800,1034.4142857142900,227,139,81
232654,0.29310240828204400,1034.4142857142900,212,139,85
232654,0.29310240828204400,1034.4142857142900,212,139,85
233354,0.29310240828204400,1036.422857142860,239,139,83
